,name,category,rating,review,link,add,hour,tel,sub,category_dic,rev,lat,lng
16,랑데자뷰 강남점,카페,3,571.0,https://place.map.kakao.com/714214219,서울 강남구 봉은사로6길 39 1층,매일 11:00 ~ 23:00,02-552-0204,강남역,"베이커리,카페",400 ~ 700 개,37.5026477,127.0279289
17,바비레드 강남본점,양식,4,832.0,https://place.map.kakao.com/18076495,서울 강남구 봉은사로6길 39 지하1층,매일 11:30 ~ 22:00,02-3452-1515,강남역,양식,700 ~ 1000 개,37.5026477,127.0279289
18,썸띵어바웃커피,디저트카페,3,552.0,https://place.map.kakao.com/2005375589,서울 강남구 강남대로102길 30 1~3층,매일 12:00 ~ 23:00,,강남역,"베이커리,카페",400 ~ 700 개,37.5027899,127.0278026
19,농민백암왕순대,순대,4,171.0,https://place.map.kakao.com/16421356,서울 강남구 역삼로3길 20-4,영업시간 월~금 11:00 ~ 21:00,02-501-2772,강남역,한식,0 ~ 200 개,37.4948791,127.0314787
20,하이디라오 강남점,샤브샤브,4,223.0,https://place.map.kakao.com/1372079546,서울 서초구 서초대로77길 54 서초w타워 2층,매일 10:00 ~ 22:00,02-533-8260,강남역,한식,200 ~ 400 개,37.5025435,127.0247168
21,떡도리탕,닭요리,3,258.0,https://place.map.kakao.com/13573220,서울 강남구 테헤란로1길 28-4 지하1층,월~토 12:00 ~ 24:00,,강남역,한식,200 ~ 400 개,37.5001305,127.0277511
22,청류벽,국수,3,224.0,https://place.map.kakao.com/770095922,서울 서초구 서초대로74길 29 1층 105호,매일 11:30 ~ 22:00,0507-1358-1191,강남역,한식,200 ~ 400 개,37.4949034,127.0274129
23,을밀대 강남점,냉면,3,147.0,https://place.map.kakao.com/12418029,서울 강남구 테헤란로4길 46 지하1층,매일 11:00 ~ 22:00,02-552-1922,강남역,한식,0 ~ 200 개,37.4953408,127.0304047
24,로리스더프라임립,"스테이크,립",3,166.0,https://place.map.kakao.com/22211960,서울 서초구 서초대로 411 GT타워 3층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-590-2800,강남역,양식,0 ~ 200 개,37.4978826,127.0261533
25,노랑저고리 강남점,한정식,3,73.0,https://place.map.kakao.com/22716674,서울 서초구 서초대로73길 9 타임빌딩 5층,매일 11:30 ~ 21:30,02-534-5300,강남역,한식,0 ~ 200 개,37.4982696,127.0252148
26,60년전통신촌황소곱창 강남직영점,"곱창,막창",3,209.0,https://place.map.kakao.com/168079537,서울 강남구 강남대로100길 13 1층,매일 13:00 ~ 01:00,02-556-2640,강남역,한식,200 ~ 400 개,37.5018151,127.0271581
27,신동궁감자탕 역삼본점,감자탕,3,187.0,https://place.map.kakao.com/7983060,서울 강남구 테헤란로10길 21,"월,화,수,목,금,일 11:00 ~ 22:00",,강남역,한식,0 ~ 200 개,37.497954,127.0328549
28,정월,카페,3,479.0,https://place.map.kakao.com/1106428073,서울 강남구 강남대로102길 46 1층,매일 11:00 ~ 23:00,02-6013-0926,강남역,"베이커리,카페",400 ~ 700 개,37.5036192,127.0286107
29,사계진미숯불닭갈비 강남본점,닭요리,4,77.0,https://place.map.kakao.com/2062959414,서울 서초구 서초대로73길 30 2층,매일 11:00 ~ 02:00,02-6406-9292,강남역,한식,0 ~ 200 개,37.5000705,127.0248522
30,미즈컨테이너 이스트점,이탈리안,3,234.0,https://place.map.kakao.com/18597642,서울 강남구 강남대로102길 13-3,매일 12:00 ~ 22:00,,강남역,양식,200 ~ 400 개,37.50213350000001,127.0267683
31,라공방 강남1호 본점,중화요리,2,249.0,https://place.map.kakao.com/146674691,서울 강남구 테헤란로4길 6 센트럴애비뉴 지하1층 B113호,매일 11:00 ~ 23:00,02-562-0825,강남역,중식,200 ~ 400 개,37.4976251,127.0292526
32,정돈,"돈까스,우동",4,213.0,https://place.map.kakao.com/850873071,서울 강남구 강남대로110길 26 1층,영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 14:00 ~ 17:00,02-563-0924,강남역,일식,200 ~ 400 개,37.5035911,127.0269451
33,만원수산,회,3,130.0,https://place.map.kakao.com/1844312235,서울 서초구 서초대로77길 37 서초동월드1308 상가 3층 302호,,,강남역,일식,0 ~ 200 개,37.5009564,127.0250917
34,비트포비아 강남던전점,테마카페,3,144.0,https://place.map.kakao.com/27413263,서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호,,02-555-4360,강남역,"베이커리,카페",0 ~ 200 개,37.4864345,127.0334942
35,고메램 강남점,"육류,고기",3,363.0,https://place.map.kakao.com/1052874675,서울 서초구 강남대로 359 대우도씨에빛2차 지하1층,,02-588-7805,강남역,한식,200 ~ 400 개,37.49475899999999,127.0285943
36,빌리엔젤 강남역점,디저트카페,2,140.0,https://place.map.kakao.com/27349884,서울 강남구 테헤란로1길 48 강남ELS빌딩 1층,,070-5051-8135,강남역,"베이커리,카페",0 ~ 200 개,37.5008215,127.0277165
37,교대이층집 강남역점,"육류,고기",4,115.0,https://place.map.kakao.com/1907052666,서울 강남구 강남대로78길 14 2층,,02-562-7113,강남역,한식,0 ~ 200 개,37.4948606,127.0305415
38,키이스케이프 강남점,테마카페,4,126.0,https://place.map.kakao.com/1405262610,서울 강남구 강남대로96길 17 6층,,010-7456-6082,강남역,"베이커리,카페",0 ~ 200 개,37.5000978,127.028377
39,무월 강남점,한식,3,167.0,https://place.map.kakao.com/26575569,서울 강남구 봉은사로4길 21,,02-555-3060,강남역,한식,0 ~ 200 개,37.5033822,127.0266345
40,장꼬방,디저트카페,3,66.0,https://place.map.kakao.com/19232112,서울 서초구 강남대로61길 27,,02-597-5511,강남역,"베이커리,카페",0 ~ 200 개,37.4983038,127.0237827
41,베트남이랑,베트남음식,3,347.0,https://place.map.kakao.com/1912522814,서울 서초구 서초대로77길 15 대경빌딩 지하1층,,,강남역,기타,200 ~ 400 개,37.4989506,127.0261426
42,수입식당,삼겹살,3,77.0,https://place.map.kakao.com/1780387311,서울 강남구 논현로79길 62 지하1층,,02-554-5477,강남역,한식,0 ~ 200 개,37.49623649999999,127.0339424
43,구스아일랜드 브루하우스,양식,3,171.0,https://place.map.kakao.com/1912710954,서울 강남구 역삼로 118,,02-6205-1785,강남역,양식,0 ~ 200 개,37.4932619,127.0322652
44,중경마라탕 강남역점,중화요리,3,247.0,https://place.map.kakao.com/1665040674,서울 강남구 테헤란로1길 44 2층,,02-558-5988,강남역,중식,200 ~ 400 개,37.5012214,127.0270697
45,원조부안집 강남점,"육류,고기",3,86.0,https://place.map.kakao.com/1111006760,서울 강남구 강남대로96길 19 1층,,,강남역,한식,0 ~ 200 개,37.5001253,127.0285451
46,아실라,술집,3,99.0,https://place.map.kakao.com/13499124,서울 강남구 강남대로98길 16 파빌리온빌딩 지하1층,,02-508-4665,강남역,"호프,펍",0 ~ 200 개,37.5006999,127.0279688
47,버터핑거팬케익스 강남점,양식,2,171.0,https://place.map.kakao.com/13304294,서울 서초구 강남대로61길 13 1층,,02-532-5740,강남역,양식,0 ~ 200 개,37.4988517,127.0255375
48,비트포비아 강남던전점,테마카페,3,144.0,https://place.map.kakao.com/27413263,서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호,월~금 11:30 ~ 23:00,02-555-4360,강남역,"베이커리,카페",0 ~ 200 개,37.4864345,127.0334942
49,고메램 강남점,"육류,고기",3,363.0,https://place.map.kakao.com/1052874675,서울 서초구 강남대로 359 대우도씨에빛2차 지하1층,월~금 11:30 ~ 22:30 · 브레이크타임 매일 14:30 ~ 17:00,02-588-7805,강남역,한식,200 ~ 400 개,37.49475899999999,127.0285943
50,빌리엔젤 강남역점,디저트카페,2,140.0,https://place.map.kakao.com/27349884,서울 강남구 테헤란로1길 48 강남ELS빌딩 1층,매일 11:00 ~ 23:00,070-5051-8135,강남역,"베이커리,카페",0 ~ 200 개,37.5008215,127.0277165
51,교대이층집 강남역점,"육류,고기",4,115.0,https://place.map.kakao.com/1907052666,서울 강남구 강남대로78길 14 2층,매일 11:30 ~ 01:00,02-562-7113,강남역,한식,0 ~ 200 개,37.4948606,127.0305415
52,무월 강남점,한식,3,167.0,https://place.map.kakao.com/26575569,서울 강남구 봉은사로4길 21,매일 15:00 ~ 23:00,02-555-3060,강남역,한식,0 ~ 200 개,37.5033822,127.0266345
53,장꼬방,디저트카페,3,66.0,https://place.map.kakao.com/19232112,서울 서초구 강남대로61길 27,매일 09:00 ~ 22:00,02-597-5511,강남역,"베이커리,카페",0 ~ 200 개,37.4983038,127.0237827
54,베트남이랑,베트남음식,3,347.0,https://place.map.kakao.com/1912522814,서울 서초구 서초대로77길 15 대경빌딩 지하1층,수~금 10:00 ~ 01:00,,강남역,기타,200 ~ 400 개,37.4989506,127.0261426
55,수입식당,삼겹살,3,77.0,https://place.map.kakao.com/1780387311,서울 강남구 논현로79길 62 지하1층,매일 11:00 ~ 23:00,02-554-5477,강남역,한식,0 ~ 200 개,37.49623649999999,127.0339424
56,구스아일랜드 브루하우스,양식,3,171.0,https://place.map.kakao.com/1912710954,서울 강남구 역삼로 118,월~수 11:30 ~ 24:00,02-6205-1785,강남역,양식,0 ~ 200 개,37.4932619,127.0322652
57,중경마라탕 강남역점,중화요리,3,247.0,https://place.map.kakao.com/1665040674,서울 강남구 테헤란로1길 44 2층,매일 11:00 ~ 24:00,02-558-5988,강남역,중식,200 ~ 400 개,37.5012214,127.0270697
58,원조부안집 강남점,"육류,고기",3,86.0,https://place.map.kakao.com/1111006760,서울 강남구 강남대로96길 19 1층,매일 14:00 ~ 24:00,,강남역,한식,0 ~ 200 개,37.5001253,127.0285451
59,아실라,술집,3,99.0,https://place.map.kakao.com/13499124,서울 강남구 강남대로98길 16 파빌리온빌딩 지하1층,월~금 18:00 ~ 02:00,02-508-4665,강남역,"호프,펍",0 ~ 200 개,37.5006999,127.0279688
60,버터핑거팬케익스 강남점,양식,2,171.0,https://place.map.kakao.com/13304294,서울 서초구 강남대로61길 13 1층,화~일 07:00 ~ 01:00,02-532-5740,강남역,양식,0 ~ 200 개,37.4988517,127.0255375
61,카페블라썸 강남점,카페,3,433.0,https://place.map.kakao.com/2003273959,서울 강남구 강남대로102길 25,매일 11:00 ~ 23:00,02-565-2117,강남역,"베이커리,카페",400 ~ 700 개,37.5026651,127.0274174
62,왕스펍,"호프,요리주점",4,224.0,https://place.map.kakao.com/504236629,서울 강남구 강남대로98길 11,매일 14:00 ~ 01:00,02-538-2888,강남역,"호프,펍",200 ~ 400 개,37.5008391,127.0274705
63,카페413프로젝트,카페,4,262.0,https://place.map.kakao.com/1937691860,서울 강남구 논현로97길 19-11,영업시간 화~일 10:30 ~ 21:00,070-7798-0544,강남역,"베이커리,카페",200 ~ 400 개,37.5023218,127.0344543
64,스시마이우 강남CGV점,"초밥,롤",4,127.0,https://place.map.kakao.com/1424086789,서울 강남구 강남대로102길 14 장연빌딩 1층,매일 11:00 ~ 23:30,02-555-4034,강남역,일식,0 ~ 200 개,37.5018491,127.0269944
65,무월식탁 강남본점,한식,2,199.0,https://place.map.kakao.com/414107084,서울 강남구 강남대로102길 23 1층,매일 11:00 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00,02-552-9280,강남역,한식,0 ~ 200 개,37.502574,127.0272953
66,겟썸커피 다운스테어즈,커피전문점,3,144.0,https://place.map.kakao.com/1868219501,서울 강남구 봉은사로6길 30 지하1층,화~일 11:00 ~ 22:00,070-4113-3619,강남역,"베이커리,카페",0 ~ 200 개,37.5030385,127.0272429
67,한성양갈비양꼬치 강남점,양꼬치,4,51.0,https://place.map.kakao.com/25115599,서울 강남구 강남대로78길 25,,02-556-6692,강남역,중식,0 ~ 200 개,37.49539720000001,127.0312572
68,마노디셰프 강남점,이탈리안,4,67.0,https://place.map.kakao.com/7857136,서울 강남구 테헤란로 129 강남N타워 지하1층,매일 11:00 ~ 22:00,02-553-5311,강남역,양식,0 ~ 200 개,37.4997777,127.0324107
69,돝고기506,삼겹살,3,180.0,https://place.map.kakao.com/1511737742,"서울 강남구 역삼로17길 53 서연빌딩 2,3층",매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6933-9501,강남역,한식,0 ~ 200 개,37.4982056,127.0361868
70,풍국면 강남직영점,국수,4,282.0,https://place.map.kakao.com/1215810701,서울 강남구 테헤란로8길 21 1층,월~금 11:00 ~ 21:30 · 브레이크타임 월~금 15:30 ~ 17:30,02-566-1144,강남역,한식,200 ~ 400 개,37.497554,127.0319893
71,알부자 강남본점,"해물,생선",3,93.0,https://place.map.kakao.com/11463001,서울 강남구 강남대로98길 14,월~금 10:00 ~ 24:00,02-508-4629,강남역,일식,0 ~ 200 개,37.5006592,127.0278348
72,참치공방 강남점,참치회,2,46.0,https://place.map.kakao.com/1614493196,서울 강남구 강남대로78길 18 2층,매일 11:30 ~ 00:30 · 브레이크타임 매일 15:00 ~ 17:00,02-538-0220,강남역,일식,0 ~ 200 개,37.4949903,127.0308632
73,아이해브어드림,"호프,요리주점",3,106.0,https://place.map.kakao.com/26476540,서울 강남구 테헤란로5길 7 KG빌딩 지하1층,월~금 17:00 ~ 01:00,02-3453-7697,강남역,"호프,펍",0 ~ 200 개,37.499217,127.0293875
74,훠궈나라 강남점,중화요리,3,217.0,https://place.map.kakao.com/528537292,서울 강남구 봉은사로2길 35 소현빌딩 2층,"월,화,수,목,일 11:30 ~ 23:30",02-554-7701,강남역,중식,200 ~ 400 개,37.5023963,127.0265127
75,대낚식당,"곱창,막창",3,297.0,https://place.map.kakao.com/1576421052,서울 강남구 역삼로 137 1층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:30,02-558-5561,강남역,한식,200 ~ 400 개,37.4945079,127.0344554
76,신도세기 강남역점,"육류,고기",3,74.0,https://place.map.kakao.com/56929632,서울 서초구 서초대로78길 22 홍우빌딩 3층,,02-3471-7007,강남역,한식,0 ~ 200 개,37.4959332,127.0280222
77,브롱스 강남점,"호프,요리주점",2,27.0,https://place.map.kakao.com/26546475,서울 강남구 강남대로94길 15,,02-566-7871,강남역,"호프,펍",0 ~ 200 개,37.4996118,127.028562
78,서울이스케이프룸 강남1호점,테마카페,4,72.0,https://place.map.kakao.com/1529768176,서울 서초구 서초대로77길 11 S호텔빌딩 지하1층,,02-533-6502,강남역,"베이커리,카페",0 ~ 200 개,37.498696,127.0261667
79,낙원타코 강남CGV점,"멕시칸,브라질",3,304.0,https://place.map.kakao.com/1738439167,"서울 강남구 봉은사로4길 33 1, 2층",,,강남역,기타,200 ~ 400 개,37.5026875,127.0269681
80,몽블리 강남역11번출구점,고기뷔페,2,149.0,https://place.map.kakao.com/1269199182,서울 강남구 강남대로96길 18 1층,,02-566-6888,강남역,한식,0 ~ 200 개,37.499829,127.0284551
81,나폴리회관,이탈리안,2,104.0,https://place.map.kakao.com/487714466,서울 강남구 테헤란로5길 24,,02-538-5067,강남역,양식,0 ~ 200 개,37.5001513,127.0290763
82,고래불 역삼본점,해산물,3,29.0,https://place.map.kakao.com/8652100,서울 강남구 논현로79길 62 1층,,02-556-3677,강남역,일식,0 ~ 200 개,37.49623649999999,127.0339424
83,브릭오븐,피자,3,117.0,https://place.map.kakao.com/19037502,서울 강남구 강남대로102길 31,,02-508-1325,강남역,패스트푸드,0 ~ 200 개,37.5030525,127.0277426
84,카페노티드 강남카카오점,카페,4,160.0,https://place.map.kakao.com/833631082,서울 서초구 강남대로 429 동일빌딩 3층,,070-8869-9377,강남역,"베이커리,카페",0 ~ 200 개,37.5007381,127.0257723
85,파란만잔,디저트카페,3,180.0,https://place.map.kakao.com/1796731956,"서울 강남구 봉은사로2길 21 1,2층",,,강남역,"베이커리,카페",0 ~ 200 개,37.5032978,127.0261221
86,알라보 강남점,양식,3,222.0,https://place.map.kakao.com/561181579,서울 강남구 테헤란로 129 강남N타워 1층 4호,,02-6250-0939,강남역,양식,200 ~ 400 개,37.4997777,127.0324107
87,옛고을장원김밥 서초점,분식,3,53.0,https://place.map.kakao.com/10734858,서울 서초구 서초대로77길 31,,02-3481-9261,강남역,분식,0 ~ 200 개,37.5005919,127.0253554
88,바나프레소 강남점,카페,4,33.0,https://place.map.kakao.com/737348953,서울 강남구 테헤란로4길 46 쌍용플래티넘 1층,,070-8998-8922,강남역,"베이커리,카페",0 ~ 200 개,37.4953323,127.0303725
89,왓쇼이켄,일본식라면,4,74.0,https://place.map.kakao.com/27455203,서울 강남구 테헤란로4길 46 쌍용플래티넘밸류,,,강남역,일식,0 ~ 200 개,37.4954056,127.0304109
90,나이스샤워 역삼점,일식,3,213.0,https://place.map.kakao.com/1989327162,서울 강남구 테헤란로10길 25 뜨라네아파트 1층 106호,,02-558-6008,강남역,일식,200 ~ 400 개,37.4975512,127.0329687
91,초선과여포 본점,중화요리,4,112.0,https://place.map.kakao.com/8097973,서울 서초구 서초대로78길 44 2층,,02-525-9890,강남역,중식,0 ~ 200 개,37.4937702,127.0284397
92,봉우이층집,"육류,고기",3,179.0,https://place.map.kakao.com/27511865,서울 강남구 봉은사로18길 76 2층,,02-553-8454,강남역,한식,0 ~ 200 개,37.5017746,127.0273837
93,진대감 강남역 교보타워점,"육류,고기",3,74.0,https://place.map.kakao.com/27323467,서울 서초구 서초대로73길 54 디오빌강남오피스텔 101호,,02-596-0715,강남역,한식,0 ~ 200 개,37.5020307,127.0241691
94,천진영감,중화요리,3,179.0,https://place.map.kakao.com/1367196580,서울 강남구 봉은사로6길 26 1층,,02-568-0355,강남역,중식,0 ~ 200 개,37.5033093,127.0270799
95,크래프트한스 강남2호점,"호프,요리주점",3,40.0,https://place.map.kakao.com/846028691,서울 강남구 강남대로96길 12 원담빌딩 1층,,,강남역,"호프,펍",0 ~ 200 개,37.4997005,127.0280598
96,라공방 강남2호 본점,중식,2,190.0,https://place.map.kakao.com/1201719127,서울 강남구 테헤란로1길 25 1층,,02-566-5002,강남역,중식,0 ~ 200 개,37.4999374,127.0273872
97,세광양대창 강남점,"곱창,막창",3,70.0,https://place.map.kakao.com/2021432189,서울 강남구 역삼로5길 22 1층,,02-568-9231,강남역,한식,0 ~ 200 개,37.4952916,127.0320049
98,뉴욕비앤비,햄버거,3,71.0,https://place.map.kakao.com/2027098299,서울 강남구 테헤란로6길 30,,02-553-7792,강남역,패스트푸드,0 ~ 200 개,37.4965257,127.0310831
99,곱창고 강남역점,"곱창,막창",2,303.0,https://place.map.kakao.com/27290706,서울 강남구 강남대로96길 11,,02-2141-0001,강남역,한식,200 ~ 400 개,37.4998711,127.0278755
100,호랑이식당 강남본점,일본식라면,3,117.0,https://place.map.kakao.com/926603562,서울 강남구 봉은사로4길 20 1층,,02-508-6655,강남역,일식,0 ~ 200 개,37.5034229,127.0263252
101,정통집 강남직영점,"육류,고기",2,220.0,https://place.map.kakao.com/2023940427,서울 강남구 강남대로96길 13,,02-552-5523,강남역,한식,200 ~ 400 개,37.49992510000001,127.0280897
102,훌리오 강남역점,"멕시칸,브라질",3,94.0,https://place.map.kakao.com/11594502,서울 강남구 강남대로102길 22 1층,,02-568-5324,강남역,기타,0 ~ 200 개,37.5023388,127.0274036
103,세광양대창 강남역중앙점,"곱창,막창",4,79.0,https://place.map.kakao.com/2121791662,서울 강남구 강남대로94길 14 1층,,02-555-5717,강남역,한식,0 ~ 200 개,37.4992478,127.0285588
104,나즈드라비 본점,"호프,요리주점",4,70.0,https://place.map.kakao.com/27587532,서울 강남구 테헤란로1길 28-6 제이빌딩 지하 1층,,02-558-0053,강남역,"호프,펍",0 ~ 200 개,37.5008215,127.0277165
105,스테이터 강남역점,"스테이크,립",3,262.0,https://place.map.kakao.com/290227790,서울 강남구 봉은사로4길 29 1층,,02-363-1316,강남역,양식,200 ~ 400 개,37.5029389,127.0268529
106,맥도날드 강남2호점,패스트푸드,2,40.0,https://place.map.kakao.com/22318989,서울 강남구 테헤란로 107 메디타워 2층,,070-7017-6865,강남역,패스트푸드,0 ~ 200 개,37.4986429,127.0287408
107,카페무라노,카페,4,31.0,https://place.map.kakao.com/27550461,서울 강남구 강남대로110길 21 1층,,02-555-8853,강남역,"베이커리,카페",0 ~ 200 개,37.5038385,127.0266806
108,모범갈빗살 강남역본점,"육류,고기",4,57.0,https://place.map.kakao.com/2000332368,서울 서초구 서초대로73길 40 104호,,02-533-2588,강남역,한식,0 ~ 200 개,37.5008898,127.0245497
109,희래식당,중화요리,2,171.0,https://place.map.kakao.com/313545073,"서울 강남구 테헤란로4길 6 센트럴애비뉴 지하1층 B126, 127호",,,강남역,중식,0 ~ 200 개,37.4965345,127.0302544
110,코드케이 강남점,테마카페,3,54.0,https://place.map.kakao.com/1528582359,서울 강남구 봉은사로2길 31 지하1층,,02-501-8245,강남역,"베이커리,카페",0 ~ 200 개,37.5025544,127.0264654
111,오리지널시카고 강남점,피자,2,68.0,https://place.map.kakao.com/26605174,"서울 강남구 강남대로98길 8 2,3층",,02-557-5055,강남역,패스트푸드,0 ~ 200 개,37.5005077,127.0273798
112,하우마라탕,중식,2,122.0,https://place.map.kakao.com/2104936093,서울 강남구 강남대로94길 23 2층,,02-6082-7071,강남역,중식,0 ~ 200 개,37.4997088,127.0291816
113,딘타이펑 강남점,중화요리,3,208.0,https://place.map.kakao.com/8279464,서울 서초구 서초대로73길 12 세계빌딩 2층,,02-569-2778,강남역,중식,200 ~ 400 개,37.4985126,127.0257229
114,강남보물섬,회,3,46.0,https://place.map.kakao.com/21155020,서울 강남구 테헤란로20길 11-1,,02-566-3563,강남역,일식,0 ~ 200 개,37.4990014,127.0346611
115,자매수산 본점,회,2,37.0,https://place.map.kakao.com/26921715,서울 서초구 서초대로77길 55 1층 107호,,02-536-9292,강남역,일식,0 ~ 200 개,37.5019747,127.0244474
116,고양이부엌 강남점,떡볶이,2,146.0,https://place.map.kakao.com/18597577,서울 서초구 강남대로61길 7 지하1층,,02-536-4468,강남역,분식,0 ~ 200 개,37.4989982,127.025936
117,유타로 강남점,일본식라면,4,100.0,https://place.map.kakao.com/16793951,서울 서초구 서초대로74길 51 골드로즈 101호,,02-582-5999,강남역,일식,0 ~ 200 개,37.4930301,127.0283916
118,강남교자 강남본점,국수,3,44.0,https://place.map.kakao.com/11891754,서울 서초구 강남대로69길 11 2층,,02-536-4133,강남역,한식,0 ~ 200 개,37.5013618,127.0242077
119,미도인 강남,퓨전일식,4,430.0,https://place.map.kakao.com/1804968253,서울 강남구 강남대로102길 16 1층,,02-555-1995,강남역,일식,400 ~ 700 개,37.5020701,127.0271684
120,이자카야열,일본식주점,3,85.0,https://place.map.kakao.com/41253646,서울 서초구 강남대로 345 2층,,02-3486-7710,강남역,"호프,펍",0 ~ 200 개,37.4936751,127.0290335
121,중경마라탕 강남2호점,중식,4,98.0,https://place.map.kakao.com/503470628,서울 강남구 강남대로78길 27 2층,,02-538-5839,강남역,중식,0 ~ 200 개,37.4954573,127.0314373
122,가배도 신논현점,다방,3,343.0,https://place.map.kakao.com/84268936,"서울 강남구 강남대로110길 13 2,3층",,02-554-4542,강남역,"베이커리,카페",200 ~ 400 개,37.5039952,127.0259106
123,오무라안,"돈까스,우동",3,48.0,https://place.map.kakao.com/8015540,서울 강남구 논현로79길 66,,02-569-8610,강남역,일식,0 ~ 200 개,37.496119,127.0335673
124,고쿠텐 강남역점,일식집,4,98.0,https://place.map.kakao.com/146952979,서울 강남구 테헤란로4길 32,,070-4647-2022,강남역,일식,0 ~ 200 개,37.4962612,127.0301445
125,대동집 강남역점,국수,3,51.0,https://place.map.kakao.com/1149253821,서울 강남구 봉은사로18길 88,,02-554-4574,강남역,한식,0 ~ 200 개,37.5009647,127.0276238
126,데블다이스 보드게임카페 강남점,보드카페,3,31.0,https://place.map.kakao.com/897071174,서울 강남구 테헤란로1길 29 4층,,0507-1370-3912,강남역,"베이커리,카페",0 ~ 200 개,37.5000716,127.0272724
